"刑事案件嫌疑犯─教育程度別-年 依 期間, 案類別, 項目別 與 計、男、女"

" "," "," 總計"," "," "," 不識字"," "," "," 自修"," "," "," 國小"," "," "," 國中"," "," "," 高中(職)"," "," "," 大專"," "," "," 研究所"," "," "," 其他(含不詳)"," "," "
" "," "," 計"," 男"," 女"," 計"," 男"," 女"," 計"," 男"," 女"," 計"," 男"," 女"," 計"," 男"," 女"," 計"," 男"," 女"," 計"," 男"," 女"," 計"," 男"," 女"," 計"," 男"," 女"
"2017"
" "," 全年",37758,31275,6483,31,15,16,3,3,0,823,614,209,8949,7688,1261,21143,17421,3722,2528,2035,493,71,64,7,4210,3435,775
" "," 竊盜-計",4736,3702,1034,16,7,9,2,2,0,257,187,70,1452,1175,277,2300,1775,525,233,170,63,5,4,1,471,382,89
" "," 竊盜-重大竊盜",4,4,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,1,1,0,0,0,0,0,0,0
" "," 竊盜-普通竊盜",4082,3095,987,16,7,9,1,1,0,248,178,70,1215,954,261,1994,1493,501,215,153,62,5,4,1,388,305,83
" "," 竊盜-汽車竊盜",153,145,8,0,0,0,0,0,0,3,3,0,64,61,3,71,66,5,2,2,0,0,0,0,13,13,0
" "," 竊盜-機車竊盜",497,458,39,0,0,0,1,1,0,6,6,0,172,159,13,233,214,19,15,14,1,0,0,0,70,64,6
" "," 暴力-計",198,183,15,0,0,0,0,0,0,6,6,0,61,60,1,108,95,13,12,11,1,0,0,0,11,11,0
" "," 暴力-故意殺人",63,59,4,0,0,0,0,0,0,1,1,0,16,16,0,38,35,3,5,4,1,0,0,0,3,3,0
" "," 暴力-擄人勒贖",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," 暴力-強盜",69,59,10,0,0,0,0,0,0,1,1,0,27,26,1,35,26,9,1,1,0,0,0,0,5,5,0
" "," 暴力-搶奪",28,27,1,0,0,0,0,0,0,0,0,0,7,7,0,18,17,1,2,2,0,0,0,0,1,1,0
" "," 暴力-重傷害",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
" "," 暴力-重大恐嚇取財",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" "," 暴力-強制性交",37,37,0,0,0,0,0,0,0,4,4,0,11,11,0,16,16,0,4,4,0,0,0,0,2,2,0
" "," 公共危險",6295,5761,534,4,1,3,1,1,0,203,179,24,1342,1247,95,3676,3375,301,361,326,35,9,9,0,699,623,76
" "," 違反毒品危害防制條例",12167,10446,1721,0,0,0,0,0,0,68,58,10,3647,3213,434,6578,5607,971,495,420,75,3,3,0,1376,1145,231
" "," 詐欺",2727,2037,690,0,0,0,0,0,0,10,8,2,353,272,81,1854,1383,471,275,187,88,6,5,1,229,182,47
" "," 背信",89,58,31,0,0,0,0,0,0,2,1,1,6,6,0,64,39,25,15,10,5,0,0,0,2,2,0
" "," 一般傷害",1598,1355,243,3,2,1,0,0,0,42,30,12,380,334,46,812,690,122,136,111,25,2,2,0,223,186,37
" "," 駕駛過失",1036,846,190,0,0,0,0,0,0,25,21,4,123,107,16,617,503,114,121,93,28,10,7,3,140,115,25
" "," 妨害風化",164,103,61,0,0,0,0,0,0,3,0,3,65,41,24,63,39,24,12,8,4,0,0,0,21,15,6
" "," 偽造文書印文",355,251,104,0,0,0,0,0,0,2,0,2,39,27,12,244,180,64,41,25,16,0,0,0,29,19,10
" "," 侵占",505,334,171,0,0,0,0,0,0,10,6,4,93,62,31,314,215,99,38,17,21,3,3,0,47,31,16
" "," 違反著作權法",160,127,33,0,0,0,0,0,0,4,3,1,11,7,4,113,89,24,27,24,3,0,0,0,5,4,1
" "," 賭博",1282,958,324,3,1,2,0,0,0,94,58,36,219,154,65,685,521,164,86,73,13,1,1,0,194,150,44
" "," 妨害自由",1159,960,199,0,0,0,0,0,0,10,4,6,267,223,44,657,553,104,109,88,21,2,2,0,114,90,24
" "," 一般恐嚇取財",117,104,13,0,0,0,0,0,0,1,1,0,24,20,4,72,63,9,6,6,0,0,0,0,14,14,0
" "," 違反商標法",38,14,24,0,0,0,0,0,0,0,0,0,0,0,0,32,11,21,6,3,3,0,0,0,0,0,0
" "," 妨害電腦使用",89,65,24,0,0,0,0,0,0,1,1,0,13,13,0,50,34,16,16,9,7,2,2,0,7,6,1
" "," 違反槍砲彈藥刀械管制條例",258,241,17,0,0,0,0,0,0,1,1,0,63,61,2,155,144,11,9,8,1,0,0,0,30,27,3
" "," 其他",4785,3730,1055,5,4,1,0,0,0,84,50,34,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76

"2012年起有案類別資料 "
" "

